Task Ref,Task Property,Task Category,Task Service Group,Task Round,Task Supporting Technicians,Task Description,Task Source Defect Quote Ref,Task Source Service Quote Ref,Task Authorisation Ref,Task Status,Task Author,Task Salesperson,Task Created Date,Task Performed Date,Task Invoiced Date,Task Days to Complete,Task Days to Invoice
T-39338,"169-171 The Mall, Leura, NSW 2780",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-30 to 2026-09-29,,,"",COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39340,"11 Spireton Place, Pendle Hill, NSW 2145",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,0,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-13692,"AU079 Greystanes Park East - (BLDG 2) Marshall Batteries/Concept Paints 1 Reconciliation Rise PEMULWUY, 2145, NSW",Billing,,,,Inspection & Testing - Fixed/Monthly 2025-07-01 to 2025-07-31,,,555335,COMPLETE,,,10 July      2025,10 July      2025,10 July      2025,0.00,0.00
T-39342,"Shred-X - 29C Davis Road, Wetherill Park, NSW 2164",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-02-01 to 2026-07-31,,,SX-8580,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39345,"ROCHE - 2 Julius Avenue, North Ryde - NSW 2113",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,P001626738,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39346,"AEU NSW Teachers Federation Branch - 23-33 Mary Street, Surry Hills, 2010",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-01-01 to 2026-01-31,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.21
T-29393,"30 Loftus Road, Yennora , NSW 2161",Repair,R PORTABLE,,,Fire Safety Equipment,QD-2147,,PO6870833_201010,COMPLETE,Patricia Mazzotta,,23 January   2026,9 April     2026,14 April     2026,75.97,5.03
T-39459,"Goodman AU184 - 18A & 18B Emporium Avenue, Kemps Creek, NSW 2178",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.08
T-39352,"Space 207 - 207 Pacific Highway, St Leonards, NSW 2065",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,W15618181 - April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.21
T-26655,"LOGOS - Building 5 - 145 Hollinsworth Road, Marsden Park, NSW 2765",Callout,R DOORS,,,Photos Required Ryan *** 2 fire doors have an inaduquite gap at the bottom of the doors preventing them from closing. this has been attended to previously under WO8602. Have requested photos from,,,Work Order #:	9583    PO:  173013,COMPLETE,Mariette Henderson,,24 December  2025,24 December  2025,14 April     2026,0.05,110.89
