Task Ref,Task Name,Task Client,Task Property,Task Category,Task Service Group,Task Assigned To,Quoted Cost,Quoted Sell,Quoted Profit,Quoted Margin,Estimated Cost,Estimated Sell,Estimated Hours,Committed Cost,Committed Hours,Revised Cost,Revised Sell,Revised Profit,Revised Margin,Revised Hours,Uninvoiced,Left to be incurred,Billable,Net Billable,Actual Cost,Invoiced,Invoiced Credit,Net Invoiced,Actual Profit,Actual Margin,Actual Hours,Cash Position,Cumulative Actual Cost,Cumulative Net Invoiced,Activity Actual Cost,Activity Net Invoiced
T-00826,Zone Block Plan AU641,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU641 - Gardeners Distribution Centre - 546 Gardeners Road, Mascot, NSW 2020",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,39.00,0.30,1239.06,1200.06,-39.00,-3.25%,0.30,0.00,39.00,0.00,0.00,1200.06,1200.06,0.00,1200.06,0.00,0.00%,0.00,1200.06,1200.06,1200.06,0.00,0.00
T-00830,Owner agent report 2024- Detection,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU543 - 33-38 Quarry Road (Bld B, Bld C & Bld D), Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,175.00,1.75,175.00,1780.00,1605.00,90.17%,1.75,0.00,175.00,0.00,0.00,0.00,1780.00,0.00,1780.00,1780.00,100.00%,0.00,1780.00,0.00,1780.00,0.00,0.00
T-00832,Front Line,Dexus Wholesale Industrial Trust,"39762 - 46 Airds Road, Minto, 2566",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,241.67,2.12,241.67,1600.00,1358.33,84.90%,2.12,0.00,241.67,0.00,0.00,0.00,1600.00,0.00,1600.00,1600.00,100.00%,0.00,1600.00,0.00,1600.00,0.00,0.00
T-00833,APFS Report 2024- EWIS and Detection,Charter Hall Holdings Pty Ltd,"Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,2080.00,2080.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,2080.00,0.00,2080.00,2080.00,100.00%,0.00,2080.00,0.00,2080.00,0.00,0.00
T-00838,"609-615 Harris Street, Ultimo",Harrison Investments Pty Ltd,"609-615 Harris Street, Ultimo, NSW 2007",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,583.00,583.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,583.00,0.00,583.00,583.00,100.00%,0.00,583.00,0.00,583.00,0.00,0.00
T-00842,Site 200 (Shared Services),Aeria Management Group,"39A455 2 Kirby Place, Bankstown Aerodrome (Site 200 Shared Services)",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,3.33,0.03,3.33,650.00,646.67,99.49%,0.03,650.00,3.33,650.00,650.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-00844,Unit 3B,Logos Property Management Pty Limited,"LOGOS - Unit 3B - 246 Miller Road, Villawood, NSW 2163",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,1.67,0.02,2.67,598.00,595.33,99.55%,0.02,0.00,1.67,0.00,0.00,1.00,598.00,0.00,598.00,597.00,99.83%,0.00,598.00,1.00,598.00,0.00,0.00
T-00846,AU099,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU099 - 31 Heathcote Road, Moorebank, NSW, 2170",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,3.33,0.03,3.33,425.00,421.67,99.22%,0.03,0.00,3.33,0.00,0.00,0.00,425.00,0.00,425.00,425.00,100.00%,0.00,425.00,0.00,425.00,0.00,0.00
T-00848,AU079 Greystanes Park East,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU079 Greystanes Park East - (BLDG 3) Iron Mountain 3 Reconciliation Rise PEMULWUY, 2145, NSW",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,286.67,2.87,286.67,1200.00,913.33,76.11%,2.87,0.00,286.67,0.00,0.00,0.00,1200.00,0.00,1200.00,1200.00,100.00%,0.00,1200.00,0.00,1200.00,0.00,0.00
T-00852,APFS Report 2024 - Power Operated Exit Doors,Logos Property Management Pty Limited,"MAERSK & L+F - Building 2 - 145 Hollinsworth Road, Marsden Park, NSW 2765",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,131.67,1.17,132.67,2080.00,1947.33,93.62%,1.17,0.00,131.67,0.00,0.00,1.00,2080.00,0.00,2080.00,2079.00,99.95%,0.00,2080.00,1.00,2080.00,0.00,0.00
T-00862,Costco Wholesale (Warehouse) (5102),Costco Wholesale Auburn,"Costco Wholesale - 17-21 Parramatta Road, Auburn, NSW 2141",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,565.01,4.35,566.01,1000.00,433.99,43.40%,4.35,0.00,565.01,0.00,0.00,1.00,1000.00,0.00,1000.00,999.00,99.90%,0.00,1000.00,1.00,1000.00,0.00,0.00
T-00865,AFSS Report 2024 - Detection & EWIS,Australian Catholic Universities (ACU),"ACU - Building 533 - 33 Berry Street, North Sydney - NSW 2055",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,1173.37,3.22,1173.37,2990.00,1816.63,60.76%,3.22,0.00,1173.37,0.00,0.00,0.00,2990.00,0.00,2990.00,2990.00,100.00%,0.00,2990.00,0.00,2990.00,0.00,0.00
T-00867,Unitrans,Logos Property Management Pty Limited,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,190.75,1.33,191.75,540.00,348.25,64.49%,1.33,0.00,190.75,0.00,0.00,1.00,540.00,0.00,540.00,539.00,99.81%,0.00,540.00,1.00,540.00,0.00,0.00
T-00875,Lubrizol,Lubrizol International Inc.,"39A622 28 River Street, Silverwater",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,600.00,1.50,600.00,1850.00,1250.00,67.57%,1.50,0.00,600.00,0.00,0.00,0.00,1850.00,0.00,1850.00,1850.00,100.00%,0.00,1850.00,0.00,1850.00,0.00,0.00
T-00877,IVE Group,IVE Group Australia Pty Limited,"L1 - Building B - 350 Parramatta Road, Homebush West, NSW 2140",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,500.00,499.00,99.80%,0.00,0.00,0.00,0.00,0.00,1.00,500.00,0.00,500.00,499.00,99.80%,0.00,500.00,1.00,500.00,0.00,0.00
T-00879,"Units 1, 2, 3, 4",Dexus Property Services P/L (DXPS),"1 Basalt Road Pemulwuy, NSW 2128",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,171.67,1.72,296.21,610.00,313.79,51.44%,1.72,0.00,171.67,0.00,0.00,124.54,610.00,0.00,610.00,485.46,79.58%,0.00,610.00,124.54,610.00,0.00,0.00
T-00881,Independent Print Media Group,Rathdrum Properties Pty Ltd,"8 Priddle Street, Warwick Farm, NSW 2170",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,100.00,1.00,101.00,610.00,509.00,83.44%,1.00,0.00,100.00,0.00,0.00,1.00,610.00,0.00,610.00,609.00,99.84%,0.00,610.00,1.00,610.00,0.00,0.00
T-00883,Goodman Fielder,Goodman Fielder Consumer Foods Pty Ltd,"Goodman Fielder - 16 Templar Rd, Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,97.50,0.75,98.50,590.00,491.50,83.31%,0.75,0.00,97.50,0.00,0.00,1.00,590.00,0.00,590.00,589.00,99.83%,0.00,590.00,1.00,590.00,0.00,0.00
T-00888,APFS 2024 - Detection,Kho & Lee,"Crocs Play Centre/World Gym - 24 Rowood Road, Prospect, NSW 2148",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,378.60,0.00,2719.27,1900.00,-819.27,-43.12%,0.00,0.00,378.60,0.00,0.00,2340.67,1900.00,0.00,1900.00,-440.67,-23.19%,6.47,1059.33,2340.67,1900.00,0.00,0.00
T-00889,"Units 1, 2, 3, 4",Dexus Property Services P/L (DXPS),39783 3 Basalt Road Pemulwuy,Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,130.00,1.00,130.00,2000.00,1870.00,93.50%,1.00,0.00,130.00,0.00,0.00,0.00,2000.00,0.00,2000.00,2000.00,100.00%,0.00,2000.00,0.00,2000.00,0.00,0.00
T-00890,"WH 1, 2, 3, 4",Dexus Property Services P/L (DXPS),"39A619 WH 1, 2, 3, 4 2a Basalt Road Pemulwuy",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,83.33,0.83,83.33,850.00,766.67,90.20%,0.83,0.00,83.33,0.00,0.00,0.00,850.00,0.00,850.00,850.00,100.00%,0.00,850.00,0.00,850.00,0.00,0.00
T-00891,Coles RRM (RROA),Retail Ready Operations Australia,"COLES RRM - 54 Templar Road, Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,383.33,3.83,1609.33,2191.00,581.67,26.55%,3.83,0.00,383.33,0.00,0.00,1226.00,2191.00,0.00,2191.00,965.00,44.04%,0.00,2191.00,1226.00,2191.00,0.00,0.00
T-00892,City Kitchen,The Kitchenary Pty Ltd,"The Kitchenary - 27 Holbeche Road, Arndell Park, NSW 2148",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1700.00,1700.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,1700.00,0.00,1700.00,1700.00,100.00%,0.00,1700.00,0.00,1700.00,0.00,0.00
T-00893,Ingleburn Industrial Estate,HJ & CI Investments Pty Ltd ATF HJ and CI Investment Unit Trust,"Hellman/Astron/ Kingsley (Common pump rm) - 6 Brooks Road, Ingleburn, NSW 2565",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,293.62,1.65,293.62,0.00,-293.62,,1.65,0.00,293.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-00894,AU645 Campus Business Park,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU645 - Campus Business Park - Building F/G - 350-374 Parramatta Road, Homebush West, NSW, 2140",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,4460.00,4460.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,4460.00,0.00,4460.00,4460.00,100.00%,0.00,4460.00,0.00,4460.00,0.00,0.00
T-00896,"66 Christina Road  Villawood, 2163, NSW",West Infill Sub TC Pty Ltd ATF West Infill Sub I Trust C/- CBRE Pty Ltd,"66 Christina Road, Villawood, NSW 2163",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,97.50,0.75,98.50,700.00,601.50,85.93%,0.75,0.00,97.50,0.00,0.00,1.00,700.00,0.00,700.00,699.00,99.86%,0.00,700.00,1.00,700.00,0.00,0.00
