"ID","Ref","Type","Status","Description","Supplier","Supplier Ref","Contractor","Warehouse","Date","Last Invoice Date","Last Invoice Number","Subtotal","Yet to be Billed","Yet to be Delivered","Tax","Total","Currency","FX Rate","Task ID","Task","Task Cost Centre","Property","Branch","Office Assignee","Purchase Order Supplier Ref","Delivery Instructions","Created","Updated","Created By","Submitted By","Reviewed By","Est. Delivery Date","Partner UID","Last Delivery Date"
27094,"PO-2998","MATERIALS","SUBMITTED","","FireSense","","","","2026-04-01","","",103.00000000,103.00000000,0E-8,10.30,113.30000000,"AUD","1.0000","36038","QD-2126... Works","","3M - 1A Rivett Road, North Ryde, NSW 2113","","","","","2026-04-01 07:17:19","2026-04-07 11:03:13","Gordon Jenkins","Gordon Jenkins","Gordon Jenkins","","","2026-04-07"
27160,"PO-3003","MATERIALS","APPROVED","","MAGUIRE ELECTRICAL SERVICES PTY LTD","","","","2026-04-01","","",0,0,0,0.00,0.00,"AUD","1.0000","36829","SQ-0723 Works","","Gateway Business Park - Unit 3/9/10 - 63-79 Parramatta Road, Silverwater, NSW 2128","","Jade Ogony","","","2026-04-01 15:09:45","2026-04-01 15:10:05","Jade Ogony","Jade Ogony","Jade Ogony","","",""
27556,"PO-3024","MATERIALS","SUBMITTED","1 addressable red bga for pick up please","Ampac","","","","2026-04-07","","",1.00000000,1.00000000,0E-8,0.10,1.10000000,"AUD","1.0000","35114","613 – replace break glass device ","","ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055","","Jamie Wright","","","2026-04-07 11:10:03","2026-04-07 11:42:28","Gordon Jenkins","Gordon Jenkins","Gordon Jenkins","","","2026-04-07"
27557,"PO-3025","MATERIALS","SUBMITTED","","Ampac","","","","2026-04-07","","",67.00000000,67.00000000,0E-8,6.70,73.70000000,"AUD","1.0000","37325","Further to fault – and inspection ","","ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055","","Jamie Wright","","","2026-04-07 11:11:36","2026-04-07 11:41:59","Gordon Jenkins","Gordon Jenkins","Gordon Jenkins","","","2026-04-07"
27754,"PO-3034","MATERIALS","DELETED","","Flamestop Australia Pty Limited","*None","","","2026-04-08","","",2816.63000000,2816.63000000,2816.63000000,281.66,3098.29000000,"AUD","1.0000","38941","QD-2668 Works","","Centennial Park - Grand Drive Sydney NSW 2021","","","","","2026-04-08 09:32:14","2026-04-08 10:55:38","Casper Tavitian","Casper Tavitian","Casper Tavitian","","",""
27755,"PO-3035","MATERIALS","DELETED","","MAGUIRE ELECTRICAL SERVICES PTY LTD","","","","2026-04-08","","",682.50000000,682.50000000,682.50000000,68.25,750.75000000,"AUD","1.0000","38941","QD-2668 Works","","Centennial Park - Grand Drive Sydney NSW 2021","","","","","2026-04-08 09:35:49","2026-04-10 11:36:15","Casper Tavitian","Casper Tavitian","Casper Tavitian","","",""
27756,"PO-3036","MATERIALS","DELETED","","MAGUIRE ELECTRICAL SERVICES PTY LTD","","","","2026-04-08","","",682.50000000,682.50000000,682.50000000,68.25,750.75000000,"AUD","1.0000","38942","QD-2664 Works","","Centennial Park - Grand Drive Sydney NSW 2021","","","","","2026-04-08 09:38:35","2026-04-10 11:30:41","Casper Tavitian","Casper Tavitian","Casper Tavitian","","",""
27757,"PO-3037","MATERIALS","DELETED","","Flamestop Australia Pty Limited","*None","","","2026-04-08","","",2832.02000000,2832.02000000,2832.02000000,283.20,3115.22000000,"AUD","1.0000","38942","QD-2664 Works","","Centennial Park - Grand Drive Sydney NSW 2021","","","","","2026-04-08 09:42:34","2026-04-08 10:55:12","Casper Tavitian","Casper Tavitian","Casper Tavitian","","",""
27787,"PO-3043","MATERIALS","SUBMITTED","","Ampac","","","","2026-04-08","","",1.00000000,1.00000000,0E-8,0.10,1.10000000,"AUD","1.0000","38842","QD-2660 Works","","15-19 McPherson St, Banksmeadow, NSW 2019","","","","","2026-04-08 11:59:23","2026-04-08 12:03:43","Gordon Jenkins","Gordon Jenkins","Gordon Jenkins","","","2026-04-08"
27952,"PO-3058","MATERIALS","SUBMITTED","PSU Fire Brigade Monitoring Unit 
3301-0015 - 22AMPPSU","Ampac","","","","2026-04-09","","",796.00000000,796.00000000,0E-8,79.60,875.60000000,"AUD","1.0000","39238","QD-2676 Works","","Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170","","","","","2026-04-09 14:01:04","2026-04-10 09:38:27","Casper Tavitian","Casper Tavitian","Casper Tavitian","","","2026-04-10"
