"ID","Reference","Created","Status","Author","Salesperson","Supervisor","Property Branch","Branch","Property ID","Property","Property Ref","Property Account Manager","Property Certification Date","Client","Severity","Date","Due Date","Review Date","Expiry Date","Submitted Date","Last Actioned","Date Authorised","Authorisation Note","Authorisation Ref","Authorisation Name","Description","Estimated Time (mins)","Subtotal","Tax","Total","Total material cost","Total labour cost","Total Cost","Subtotal material sell","Subtotal labour sell","Subtotal margin","Tags","Service Group","Scope of Works"
26601,"QD-2787","2026-04-20 14:43:43","FINALISED","Casper Tavitian","","Casper Tavitian","","","314","Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019","39636 AU122","","2021-05-20","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 15:14:28","","","","","12-14 Anella APFS",0,1595.0000,159.5000,1754.5000,151.0000,1050.0000,1201.0000,295.0000,1300.0000,24.7022,"","R DETECTION","Scope of Works
LOT 14

Defects Identified during the 2026 APFS Inspection*

Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26570,"QD-2785","2026-04-20 12:08:03","SUBMITTED","Jamie Wright","","","","","469","LOGOS - 246 Miller Road, Villawood, NSW 2165","39A581","","2024-07-16","Logos Property Management Pty Limited","","2026-04-20","2026-05-20","","2026-07-19","2026-04-20 15:10:00","2026-04-20 15:10:15","","","","","SPK - Monthly defect repairs",180,460.0000,46.0000,506.0000,390.0000,0.0000,390.0000,460.0000,0.0000,15.2174,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine monthly testing, we have identified the following defect(s) that we wanted to bring to your attention:

Please see below.

If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
26567,"QD-2782","2026-04-20 11:43:24","FINALISED","Casper Tavitian","","Casper Tavitian","","","314","Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019","39636 AU122","","2021-05-20","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 14:40:38","","","","","16-20 Anella Avenue APFS",0,1501.0000,150.1000,1651.1000,208.0000,945.0000,1153.0000,331.0000,1170.0000,23.1845,"","R DETECTION","**LOTS 16-18-20**

**Defects Identified during the 2026 APFS Inspection***


Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26536,"QD-2780","2026-04-20 10:25:08","SUBMITTED","Casper Tavitian","","Casper Tavitian","","","490","LOGOS - Building 4 - 145 Hollinsworth Road, Marsden Park, NSW 2765","39A602 A","","2024-06-09","Logos Property Management Pty Limited","","2026-04-20","2026-05-20","","2026-07-19","2026-04-20 10:32:07","2026-04-20 10:32:07","","","","","Defects identified during FIP Call Out - 2nd of April 2026",0,2633.0000,263.3000,2896.3000,1298.0000,630.0000,1928.0000,1853.0000,780.0000,26.7755,"","R DETECTION","**Scope of Works**

Supply and install three (3) smoke detectors.
Provide two (2) fire panel technicians to attend site.
EWP required to carry out replacement of the detectors."
26470,"QD-2773","2026-04-20 08:29:11","FINALISED","Casper Tavitian","","Casper Tavitian","","","37","Sircel - 78-82 Marple Avenue, Villawood, NSW 2163","39076","","2019-05-15","George Vasili & Nick Vasili C/- CBRE","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 11:06:32","","","","","15.12.2025- 2025 APFS - Dry Fire",0,1437.0000,143.7000,1580.7000,366.0000,210.0000,576.0000,1177.0000,260.0000,59.9165,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26468,"QD-2771","2026-04-20 07:24:14","SUBMITTED","Casper Tavitian","","Casper Tavitian","","","77","ESR - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148","39488","","2025-03-01","Logos Property Management Pty Limited","","2026-04-20","2026-05-20","","2026-07-19","2026-04-20 08:50:51","2026-04-20 08:51:02","","","","","FIP Annual defect repairs/investigation",0,638.0000,63.8000,701.8000,82.0000,420.0000,502.0000,118.0000,520.0000,21.3166,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26467,"QD-2770","2026-04-20 07:14:57","SUBMITTED","Casper Tavitian","","Casper Tavitian","","","491","LOGOS - Building 5 - 145 Hollinsworth Road, Marsden Park, NSW 2765","39A602 B","","2024-06-09","Logos Property Management Pty Limited","","2026-04-20","2026-05-20","","2026-07-19","2026-04-20 07:18:17","2026-04-20 07:18:33","","","","","Defects Identified during March 2026 Monthly FIP Testing",0,785.0000,78.5000,863.5000,460.0000,105.0000,565.0000,655.0000,130.0000,28.0255,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine monthly testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:


**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
26335,"QD-2756","2026-04-17 09:21:34","SUBMITTED","Jamie Wright","","","","","410","112 Wharf Road, Melrose Park, NSW 2114","39A557","","2022-08-01","C/- Colliers Int’l Pty Ltd","","2026-04-17","2026-05-17","","2026-07-16","2026-04-17 09:25:50","2026-04-20 13:00:39","","","","","SPK Urgent repairs",4,2919.0000,291.9000,3210.9000,1166.0000,1050.0000,2216.0000,1619.0000,1300.0000,24.0836,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine monthly testing, we have identified the following defect(s) that we wanted to bring to your attention:

Please see below.

Attended site found batteries and cabling had been removed/cut and stolen from site, require to replace cabling and batteries

If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
26302,"QD-2754","2026-04-17 07:50:00","SUBMITTED","Casper Tavitian","Casper Tavitian","","","","308","Goodman AU019 - Transtech Business Park - 12 Mars Road, Lane Cove West, NSW 2066","39A416 AU019","","2026-04-24","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-17","2026-05-17","","2026-07-16","2026-04-20 15:26:06","2026-04-20 15:26:08","","","","","Quotation - Fire Trip Relays - Unit 4.3",0,8792.0000,879.2000,9671.2000,2740.0000,3990.0000,6730.0000,3852.0000,4940.0000,23.4531,"","R DETECTION","**Scope of Works**

Supply and install 1 x 24V fire trip cable. A 24V supply is required to the relay to enable operation during a fire event.

Boom Lift required to complete the works."
26041,"QD-2741-FIP-Building-G","2026-04-14 13:15:27","FINALISED","Casper Tavitian","","Casper Tavitian","","","307","Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128","39A415 AU002","","2021-04-25","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-14","2026-05-14","","2026-07-13","","2026-04-14 13:32:14","","","","","FIP-Building-G",120,260.0000,26.0000,286.0000,200.0000,0.0000,200.0000,260.0000,0.0000,23.0769,"","R DETECTION","**BUILDING G**

Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
