"ID","Created","Updated","Active","Status","Remark Type ID","Remark Type","Asset Type","Asset Type Tags","Asset Location","Asset ID","Asset Label","Asset Barcode","Property Name","Property Ref","Property Client Ref","Property OSCP Number","Client","Branch","Asset Contractor","Asset bSECURE Shortcode","Created on Task Ref","Assigned Contractor","Asset Compliance","Notes","Description","Severity","Severity Display","Resolution","Location","Inactive Date","Owner Responsible","Quoted Date","Quote Ref","Quote Status","Repair Task Ref","Repair Task Status","Repair Task ID","Public URL"
23178,"2026-04-10 13:05:25","2026-04-10 13:05:25",True,"NEEDS_QUOTING",0,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","","18427","1 - Fire Indicator Panel","","Goodman AU059 Lidcombe Business Park (Buildings A to F) - 3-29 Birnie Avenue  LIDCOMBE, 2141, NSW","39A418 AU059","","","Goodman Property Services (Aust) Pty Limited SC01822","","FlameSafe Fire Protection PTY LTD","","T-37593","","Fail","","External bell failed. ",5,"Non-critical defect","","Building B.","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/bbdd9ee6-e0d3-435f-b68e-31d3e8654cbb/public/"
23082,"2026-04-10 09:35:39","2026-04-10 09:35:39",True,"NEEDS_QUOTING",0,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Fire Control Room","33022","001 - Addressable: Fire Indicator Panel","","Mandarin Centre - 65 Albert Ave, Chatswood NSW 2067","39A677","","","Mandarin Developments Pty Ltd C-/ Colliers International (NSW) Pty Ltd","","FlameSafe Fire Protection PTY LTD","","T-37783","","Fail","","2x40ah batteries due for replacement ",10,"Critical defect","","MFIP","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/5a91ad61-a0c3-4a61-9f9c-44a1b517704a/public/"
23057,"2026-04-10 08:31:50","2026-04-10 08:31:50",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Detector","","Common Areas - Unknown location LVL5","56960","Z7 L1D86 Smoke Detector","","18 Smith Street, Parramatta, NSW 2150","39A283","","","EUREKA FUND 5 PTY LIMITED ATF EUREKA PROPERTY FUND C/- Knight Frank Australia Pty Ltd","","FlameSafe Fire Protection PTY LTD","","T-35004","","Fail","","Smoke detectors location is incorrect. Detector is located in the lift motor room.",5,"Non-critical defect","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/35257784-96bc-4c63-8553-465fdf42336f/public/"
22969,"2026-04-09 15:06:26","2026-04-10 14:37:46",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Main Entry","34816","001 - Fire Indicator Panel","","DLP - Warehouse 7, 44 Clunies Ross Street, Pemulwuy","39A750","","","FlameSafe Warranty (Contracts)","","FlameSafe Fire Protection PTY LTD","","T-35667","","Fail","","Fire indicator panel does not have a spare BGA tool or element.",2,"Non-conformance","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/511986d0-5a08-4226-91ed-fb8ff8c869af/public/"
22915,"2026-04-09 10:57:30","2026-04-09 15:53:12",True,"NEEDS_QUOTING",0,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Warehouse 2 Office Entry","58589","001 - Fire Indicator Panel","","VERTIX - 311 South Street, Marsden Park NSW 2765","39A802","","","FlameSafe Warranty (Contracts)","","FlameSafe Fire Protection PTY LTD","","T-37821","","Pass","","When alarms on panel even though door holder is isolated doors automatically open and stay open only close once panel is reset",2,"Non-conformance","","Panel","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/4398e2b8-41ea-409d-9ed2-e85f062a044d/public/"
22678,"2026-04-08 07:59:48","2026-04-08 08:02:51",True,"NEEDS_QUOTING",0,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Sprinkler Pump Room Building A","120781","001 - Conventional: Fire Indicator Panel","","Building B1, B2, B3 - 5 Williamson Rd, Ingleburn NSW 2565","39A471","","","Ingleburn Industrial Property Co Pty Ltd","","FlameSafe Fire Protection PTY LTD","","T-37839","","Fail","","External bell failed ",5,"Non-critical defect","","Building A Pump room","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/71adb79c-9c9b-4b08-8e30-d847414fdc49/public/"
22652,"2026-04-07 14:40:56","2026-04-07 14:40:56",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Sprinkler Valve Room","7613","1 - Fire Indicator Panel","","Ultimo Trade Centre -  28-48 Wattle Street, Ultimo, NSW 2007","39550","","","Bendal Pty Limited","","FlameSafe Fire Protection PTY LTD","","T-34974","","Fail","","Fire indicator panel does not have a spare BGA tool.",2,"Non-conformance","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/dbb0eda9-c1b2-400c-9295-66d07ef679bf/public/"
22649,"2026-04-07 14:38:01","2026-04-07 14:38:01",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Sprinkler Valve Room","7613","1 - Fire Indicator Panel","","Ultimo Trade Centre -  28-48 Wattle Street, Ultimo, NSW 2007","39550","","","Bendal Pty Limited","","FlameSafe Fire Protection PTY LTD","","T-34974","","Fail","","Fire indicator panel does not have isolation monitoring.",5,"Non-critical defect","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/aa991725-7dd3-4d0a-9d3f-efd28a4785e6/public/"
22648,"2026-04-07 14:38:01","2026-04-07 14:38:01",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Sprinkler Valve Room","7613","1 - Fire Indicator Panel","","Ultimo Trade Centre -  28-48 Wattle Street, Ultimo, NSW 2007","39550","","","Bendal Pty Limited","","FlameSafe Fire Protection PTY LTD","","T-34974","","Fail","","Fire indicator panel does not have fault monitoring.",5,"Non-critical defect","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/d6e38c97-98d2-4038-88fe-4dc1d5126aed/public/"
22647,"2026-04-07 14:38:01","2026-04-07 14:38:01",True,"NEEDS_QUOTING",1850,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Sprinkler Valve Room","7613","1 - Fire Indicator Panel","","Ultimo Trade Centre -  28-48 Wattle Street, Ultimo, NSW 2007","39550","","","Bendal Pty Limited","","FlameSafe Fire Protection PTY LTD","","T-34974","","Fail","","Zone block plan does not display zone 4",2,"Non-conformance","","","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/75e60ec7-7b38-4f8b-8cf9-f199eff43f61/public/"
22614,"2026-04-07 11:21:54","2026-04-09 16:00:08",True,"NEEDS_QUOTING",0,"Custom Note","Fire Detection System: Fire Indicator Panel (FIP)","","Entrance Retail Centre","15657","3 - Fire Indicator Panel","","Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035","39A378","","","Charter Hall Holdings Pty Ltd","","FlameSafe Fire Protection PTY LTD","","T-37576","","Fail","","2x65ah and 2x26ah batteries due for replacement ",5,"Non-critical defect","","Retail sfip","",False,"","","","","","","https://flamesafe.onuptick.com/inspections/remarks/874e8469-6564-41a7-a72f-af33045a3aac/public/"
